"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"LIST_TASWATER_SW_PRES_MAIN","GLAMORGAN_SPRING_BAY","lga","LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_glamorgan_spring_bay","Polygon",1,9,"EPSG:28355","547137.822 5266953.961 612366.306 5370099.443","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLENORCHY","lga","LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip","list_taswater_sw_pres_main_glenorchy.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_glenorchy","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLENORCHY","lga","LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip","municipality_glenorchy.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_glenorchy","MultiPolygon",1,11,"EPSG:28355","511062.881 5248796.436 526452.278 5267315.095","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLENORCHY","lga","LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_glenorchy","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLENORCHY","lga","LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_glenorchy","Polygon",1,9,"EPSG:28355","511062.881 5248796.436 526452.278 5267315.095","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLENORCHY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HOBART","lga","LIST_TASWATER_SW_PRES_MAIN_HOBART.zip","list_taswater_sw_pres_main_hobart.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_hobart","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HOBART.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HOBART","lga","LIST_TASWATER_SW_PRES_MAIN_HOBART.zip","municipality_hobart.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_hobart","MultiPolygon",1,11,"EPSG:28355","515981.353 5245465.076 529551.926 5256391.123","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HOBART.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HOBART","lga","LIST_TASWATER_SW_PRES_MAIN_HOBART.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_hobart","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HOBART.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HOBART","lga","LIST_TASWATER_SW_PRES_MAIN_HOBART.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_hobart","Polygon",1,9,"EPSG:28355","515981.353 5245465.076 529551.926 5256391.123","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HOBART.zip",""
"LIST_TASWATER_SW_PRES_MAIN","HUON_VALLEY","lga","LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip","list_taswater_sw_pres_main_huon_valley.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_huon_valley","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_HUON_VALLEY.zip",""
